STATE,DISTRICT,Year,Murder,Infanticide,Rape,Foeticide,Kidnapping and Abduction,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total,Literacy Rate- Total,Literacy Rate - Rural,Literacy Rate - Urban
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ANDHRA PRADESH,VISAKHA RURAL,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ANDHRA PRADESH,VISAKHAPATNAM,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ANDHRA PRADESH,VIZIANAGARAM,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ANDHRA PRADESH,WARANGAL,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ANDHRA PRADESH,WEST GODAVARI,2001,1,NA,6,0,0,0,0,2,0,0,0,9,,,
ANDHRA PRADESH,TOTAL,2001,35,NA,84,0,57,7,22,12,0,6,47,270,60.5,54.5,76.1
ARUNACHAL PRADESH,CHANGLANG,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ARUNACHAL PRADESH,DIBANG VALLEY,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ARUNACHAL PRADESH,KAMENG EAST,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ARUNACHAL PRADESH,KAMENG WEST,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ARUNACHAL PRADESH,LOHIT,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ARUNACHAL PRADESH,PAPUM PARE,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ARUNACHAL PRADESH,SIANG EAST,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ARUNACHAL PRADESH,SIANG UPPER,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ARUNACHAL PRADESH,SIANG WEST,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ARUNACHAL PRADESH,TAWANG,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ARUNACHAL PRADESH,TIRAP,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ARUNACHAL PRADESH,TOTAL,2001,0,NA,0,0,0,0,0,0,0,0,0,0,54.3,47.8,78.3
ASSAM,BARPETA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ASSAM,BONGAIGAON,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ASSAM,C.I.D.,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ASSAM,CACHAR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ASSAM,DARRANG,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ASSAM,DHEMAJI,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ASSAM,DHUBRI,2001,0,NA,0,0,4,0,0,0,0,0,0,4,,,
ASSAM,DIBRUGARH,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ASSAM,G.R.P.,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ASSAM,GOALPARA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ASSAM,GOLAGHAT,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ASSAM,GUWAHATI CITY,2001,0,NA,0,0,3,0,0,0,0,0,0,3,,,
ASSAM,HAILAKANDI,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ASSAM,JORHAT,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ASSAM,KAMRUP,2001,0,NA,0,0,4,0,0,0,0,0,0,4,,,
ASSAM,KARBI ANGLONG,2001,0,NA,0,0,2,0,0,0,0,0,0,2,,,
ASSAM,KARIMGANJ,2001,0,NA,0,0,4,0,0,0,0,0,0,4,,,
ASSAM,KOKRAJHAR,2001,0,NA,0,0,1,0,0,0,0,0,0,1,,,
ASSAM,LAKHIMPUR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ASSAM,MORIGAON,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ASSAM,N.C. HILLS,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ASSAM,NAGAON,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ASSAM,NALBARI,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ASSAM,R.P.O.,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ASSAM,SIBSAGAR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ASSAM,SONITPUR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ASSAM,TINSUKIA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ASSAM,TOTAL,2001,0,NA,0,0,18,0,0,0,0,0,0,18,63.3,59.7,85.3
BIHAR,ARARIA,2001,0,NA,4,0,8,0,0,0,0,0,0,12,,,
BIHAR,ARWAL,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,AURANGABAD,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,BAGAHA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,BANKA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,BEGUSARAI,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,BETTIAH,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,BHABHUA,2001,0,NA,3,0,4,0,0,2,0,0,10,19,,,
BIHAR,BHAGALPUR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,BHOJPUR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,BUXAR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,DARBHANGA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,GAYA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,GOPALGANJ,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,JAMALPUR RLY.,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,JAMUI,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,JEHANABAD,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,KATIHAR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,KATIHAR RLY.,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,KHAGARIA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,KISHANGANJ,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,LAKHISARAI,2001,1,NA,1,0,0,0,0,0,0,0,0,2,,,
BIHAR,MADHEPURA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,MADHUBANI,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,MOTIHARI,2001,0,NA,0,0,0,0,0,0,0,1,0,1,,,
BIHAR,MUNGER,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,MUZAFFARPUR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,MUZAFFARPUR RLY.,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,NALANDA,2001,0,NA,1,0,7,0,0,0,0,0,6,14,,,
BIHAR,NAUGACHIA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,NAWADAH,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,PATNA,2001,0,NA,2,0,0,0,1,1,1,0,2,8,,,
BIHAR,PATNA RLY.,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,PURNEA,2001,1,NA,4,0,4,0,0,13,0,1,0,23,,,
BIHAR,ROHTAS,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,SAHARSA,2001,0,NA,1,0,1,0,0,0,0,0,0,2,,,
BIHAR,SAMASTIPUR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,SARAN,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,SHEIKHPURA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,SHEOHAR,2001,0,NA,0,0,2,0,0,0,0,0,0,2,,,
BIHAR,SITAMARHI,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,SIWAN,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,SUPAUL,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,VAISHALI,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
BIHAR,TOTAL,2001,2,NA,16,0,26,0,1,16,1,2,18,83,47,43.9,71.9
CHHATTISGARH,BALRAMPUR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
CHHATTISGARH,BILASPUR,2001,0,NA,16,2,5,1,4,0,0,0,31,59,,,
CHHATTISGARH,BIZAPUR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
CHHATTISGARH,DANTEWARA,2001,0,NA,3,0,1,0,0,0,0,0,6,10,,,
CHHATTISGARH,DHAMTARI,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
CHHATTISGARH,DURG,2001,2,NA,3,0,1,0,0,0,0,0,123,129,,,
CHHATTISGARH,GRP RAIPUR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
CHHATTISGARH,JAGDALPUR,2001,0,NA,3,0,1,0,0,0,0,0,30,34,,,
CHHATTISGARH,JANJGIR,2001,0,NA,5,1,5,0,3,0,0,0,4,18,,,
CHHATTISGARH,JASHPUR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
CHHATTISGARH,KANKER,2001,1,NA,2,0,0,0,1,0,0,0,1,5,,,
CHHATTISGARH,KAWARDHA,2001,0,NA,3,0,0,0,0,0,0,0,0,3,,,
CHHATTISGARH,KORBA,2001,3,NA,4,0,3,0,2,0,0,0,17,29,,,
CHHATTISGARH,KORIYA,2001,0,NA,18,0,7,0,0,0,0,0,46,71,,,
CHHATTISGARH,MAHASAMUND,2001,0,NA,16,0,3,0,0,0,0,0,0,19,,,
CHHATTISGARH,RAIGARH,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
CHHATTISGARH,RAIPUR,2001,8,NA,40,2,7,0,0,0,0,0,46,103,,,
CHHATTISGARH,RAJNANDGAON,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
CHHATTISGARH,SARGUJA,2001,0,NA,37,0,13,0,5,0,0,0,50,105,,,
GOA,NORTH GOA,2001,1,NA,3,0,1,0,2,0,0,0,6,13,,,
GOA,SOUTH GOA,2001,0,NA,7,0,5,0,1,2,0,0,6,21,,,
GOA,TOTAL,2001,1,NA,10,0,6,0,3,2,0,0,12,34,82,79.7,84.4
GUJARAT,AHMEDABAD COMMR.,2001,2,NA,1,0,4,0,13,18,0,0,39,77,,,
GUJARAT,AHMEDABAD RURAL,2001,1,NA,0,0,0,0,3,0,0,0,0,4,,,
GUJARAT,AHWA-DANG,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
GUJARAT,AMRELI,2001,5,NA,1,0,0,0,4,0,0,1,5,16,,,
GUJARAT,ANAND,2001,0,NA,0,0,0,0,9,0,0,1,1,11,,,
GUJARAT,BHARUCH,2001,0,NA,4,0,4,0,5,0,0,1,1,15,,,
GUJARAT,BHAVNAGAR,2001,6,NA,1,0,12,0,11,0,0,1,31,62,,,
GUJARAT,DAHOD,2001,2,NA,1,0,0,0,0,0,0,0,40,43,,,
GUJARAT,GANDHINAGAR,2001,2,NA,0,0,6,0,4,0,0,0,0,12,,,
GUJARAT,HIMATNAGAR,2001,0,NA,0,0,0,0,0,0,0,2,2,4,,,
GUJARAT,JAMNAGAR,2001,9,NA,2,0,1,0,5,0,0,0,0,17,,,
GUJARAT,JUNAGADH,2001,6,NA,3,2,0,0,11,0,0,0,10,32,,,
GUJARAT,KHEDA NORTH,2001,0,NA,0,0,0,0,6,0,0,0,0,6,,,
GUJARAT,KUTCH,2001,1,NA,0,0,10,0,8,0,0,1,7,27,,,
GUJARAT,MEHSANA,2001,3,NA,0,0,1,0,4,0,0,0,7,15,,,
GUJARAT,NARMADA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
GUJARAT,NAVSARI,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
GUJARAT,PALANPUR,2001,2,NA,1,0,11,0,5,0,0,0,2,21,,,
GUJARAT,PANCHMAHAL,2001,1,NA,0,0,0,0,0,0,0,0,0,1,,,
GUJARAT,PATAN,2001,2,NA,1,0,1,0,2,0,0,1,1,8,,,
GUJARAT,PORBANDAR,2001,4,NA,0,0,0,0,3,0,0,0,0,7,,,
GUJARAT,RAJKOT COMMR.,2001,3,NA,1,0,4,0,8,0,0,0,2,18,,,
GUJARAT,RAJKOT RURAL,2001,6,NA,7,2,9,0,5,0,0,1,15,45,,,
GUJARAT,SURAT COMMR.,2001,17,NA,4,0,3,0,1,0,0,1,3,29,,,
GUJARAT,SURAT RURAL,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
GUJARAT,SURENDRANAGAR,2001,1,NA,4,0,14,0,1,0,0,1,4,25,,,
GUJARAT,VADODARA COMMR.,2001,2,NA,2,0,9,0,4,0,0,0,19,36,,,
GUJARAT,VADODARA RURAL,2001,3,NA,6,0,31,0,0,0,0,0,1,41,,,
GUJARAT,VALSAD,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
GUJARAT,W.RLY,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
GUJARAT,TOTAL,2001,78,NA,39,4,120,0,112,18,0,11,190,572,69.1,61.3,81.8
HARYANA,AMBALA,2001,0,NA,3,1,0,0,0,0,0,0,0,4,,,
HARYANA,BHIWANI,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
HARYANA,FARIDABAD,2001,6,NA,16,1,56,0,0,0,1,0,39,119,,,
HARYANA,FATEHABAD,2001,1,NA,7,1,10,0,0,0,1,0,7,27,,,
HARYANA,GRP,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
HARYANA,GURGAON,2001,5,NA,6,0,28,0,8,5,0,0,0,52,,,
HARYANA,HISAR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
HARYANA,JHAJJAR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
HARYANA,JIND,2001,5,NA,13,0,4,0,3,0,0,0,0,25,,,
HARYANA,KAITHAL,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
HARYANA,KARNAL,2001,3,NA,23,0,7,0,5,0,0,0,9,47,,,
HARYANA,KURUKSHETRA,2001,1,NA,6,0,10,0,0,0,0,0,0,17,,,
HARYANA,MAHENDERGARH,2001,2,NA,2,0,0,0,0,0,0,0,0,4,,,
HARYANA,PANCHKULA,2001,1,NA,0,0,1,0,0,0,0,0,0,2,,,
HARYANA,PANIPAT,2001,7,NA,31,0,8,0,0,0,0,0,7,53,,,
HARYANA,REWARI,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
HARYANA,ROHTAK,2001,0,NA,0,0,0,0,0,0,0,0,3,3,,,
HARYANA,SIRSA,2001,0,NA,1,0,0,0,0,0,0,0,9,10,,,
HARYANA,SONIPAT,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
HARYANA,YAMUNANAGAR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
HARYANA,TOTAL,2001,31,NA,108,3,124,0,16,5,2,0,74,363,67.9,63.2,79.2
HIMACHAL PRADESH,BILASPUR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
HIMACHAL PRADESH,CHAMBA,2001,1,NA,5,0,0,0,2,0,0,0,0,8,,,
HIMACHAL PRADESH,G.R.P.,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
HIMACHAL PRADESH,HAMIRPUR,2001,0,NA,3,0,3,0,2,0,0,0,0,8,,,
HIMACHAL PRADESH,KANGRA,2001,1,NA,3,0,2,0,2,0,0,0,3,11,,,
HIMACHAL PRADESH,KINNAUR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
HIMACHAL PRADESH,KULLU,2001,1,NA,9,0,6,0,0,0,0,0,4,20,,,
HIMACHAL PRADESH,LAHAUL-SPITI,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
HIMACHAL PRADESH,MANDI,2001,0,NA,3,0,0,0,1,0,0,0,0,4,,,
HIMACHAL PRADESH,SHIMLA,2001,0,NA,3,0,0,0,1,0,0,0,0,4,,,
HIMACHAL PRADESH,SIRMAUR,2001,1,NA,3,0,5,0,1,0,0,0,0,10,,,
HIMACHAL PRADESH,SOLAN,2001,1,NA,3,0,4,0,6,0,0,0,0,14,,,
HIMACHAL PRADESH,UNA,2001,0,NA,3,0,0,0,0,0,0,0,0,3,,,
HIMACHAL PRADESH,TOTAL,2001,5,NA,35,0,20,0,15,0,0,0,7,82,76.5,75.1,88.9
JAMMU & KASHMIR,ANANTNAG,2001,0,NA,1,0,14,0,1,0,0,0,1,17,,,
JAMMU & KASHMIR,AWANTIPORA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JAMMU & KASHMIR,BARAMULLA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JAMMU & KASHMIR,BORDER,2001,1,NA,2,0,0,0,0,0,0,0,0,3,,,
JAMMU & KASHMIR,BUDGAM,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JAMMU & KASHMIR,CRIME JAMMU,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JAMMU & KASHMIR,CRIME SRINAGAR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JAMMU & KASHMIR,DODA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JAMMU & KASHMIR,GANDERBAL,2001,0,NA,0,0,1,0,0,0,0,0,0,1,,,
JAMMU & KASHMIR,JAMMU,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JAMMU & KASHMIR,KARGIL,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JAMMU & KASHMIR,KATHUA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JAMMU & KASHMIR,KULGAM,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JAMMU & KASHMIR,KUPWARA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JAMMU & KASHMIR,LEH,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JAMMU & KASHMIR,POONCH,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JAMMU & KASHMIR,PULWAMA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JAMMU & KASHMIR,RAILWAYS,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JAMMU & KASHMIR,RAJOURI,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JAMMU & KASHMIR,RAMBAN,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JAMMU & KASHMIR,REASI,2001,0,NA,0,0,0,0,1,0,0,0,0,1,,,
JAMMU & KASHMIR,SRINAGAR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JAMMU & KASHMIR,UDHAMPUR,2001,1,NA,3,0,0,0,2,0,0,0,0,6,,,
JAMMU & KASHMIR,TOTAL,2001,2,NA,6,0,15,0,4,0,0,0,1,28,55.5,49.8,71.9
JHARKHAND,BOKARO,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JHARKHAND,CHAIBASA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JHARKHAND,CHATRA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JHARKHAND,DEOGHAR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JHARKHAND,DHANBAD,2001,1,NA,5,0,1,0,0,0,0,0,6,13,,,
JHARKHAND,DHANBAD RLY.,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JHARKHAND,DUMKA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JHARKHAND,GARHWA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JHARKHAND,GIRIDIH,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JHARKHAND,GODDA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JHARKHAND,GUMALA,2001,1,NA,5,0,3,0,0,0,0,0,6,15,,,
JHARKHAND,HAZARIBAGH,2001,3,NA,0,0,0,0,0,0,0,0,1,4,,,
JHARKHAND,JAMSHEDPUR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JHARKHAND,JAMSHEDPUR RLY.,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JHARKHAND,JAMTARA,2001,0,NA,1,0,0,0,0,1,0,0,7,9,,,
JHARKHAND,KODERMA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JHARKHAND,LATEHAR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JHARKHAND,LOHARDAGGA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JHARKHAND,PAKUR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JHARKHAND,PALAMU,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JHARKHAND,RANCHI,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JHARKHAND,SAHEBGANJ,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JHARKHAND,SARAIKELA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JHARKHAND,SIMDEGA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
JHARKHAND,TOTAL,2001,5,NA,11,0,4,0,0,1,0,0,20,41,53.6,45.7,79.1
KARNATAKA,BAGALKOT,2001,0,NA,0,0,3,0,0,0,0,0,0,3,,,
KARNATAKA,BANGALORE COMMR.,2001,0,NA,4,0,1,0,0,0,0,0,1,6,,,
KARNATAKA,BANGALORE RURAL,2001,0,NA,0,0,2,0,0,1,0,0,0,3,,,
KARNATAKA,BELGAUM,2001,0,NA,3,0,0,0,4,0,0,0,2,9,,,
KARNATAKA,BELLARY,2001,0,NA,4,0,0,0,0,0,0,0,0,4,,,
KARNATAKA,BIDAR,2001,0,NA,1,0,0,0,7,0,0,0,0,8,,,
KARNATAKA,BIJAPUR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
KARNATAKA,CHAMARAJNAGAR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
KARNATAKA,CHICKMAGALUR,2001,0,NA,0,0,1,0,0,0,0,0,0,1,,,
KARNATAKA,CHITRADURGA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
KARNATAKA,DAKSHIN KANNADA,2001,0,NA,0,0,0,0,0,0,0,0,1,1,,,
KARNATAKA,DAVANAGERE,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
KARNATAKA,DHARWAD COMMR.,2001,0,NA,3,1,4,0,0,0,0,0,0,8,,,
KARNATAKA,DHARWAD RURAL,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
KARNATAKA,GADAG,2001,0,NA,0,0,0,0,0,0,0,0,1,1,,,
KARNATAKA,GULBARGA,2001,0,NA,0,0,0,0,3,0,2,0,1,6,,,
KARNATAKA,HASSAN,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
KARNATAKA,HAVERI,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
KARNATAKA,K.G.F.,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
KARNATAKA,KODAGU,2001,0,NA,0,0,1,0,0,0,0,0,0,1,,,
KARNATAKA,KOLAR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
KARNATAKA,KOPPAL,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
KARNATAKA,MANDYA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
KARNATAKA,MYSORE COMMR.,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
KARNATAKA,MYSORE RURAL,2001,0,NA,0,0,3,0,0,0,0,0,0,3,,,
KARNATAKA,RAICHUR,2001,3,NA,3,0,1,0,1,0,0,1,1,10,,,
KARNATAKA,RAILWAYS,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
KARNATAKA,SHIMOGA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
KARNATAKA,TUMKUR,2001,0,NA,0,0,2,0,0,0,0,0,2,4,,,
KARNATAKA,UDUPI,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
KARNATAKA,UTTAR KANNADA,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
KARNATAKA,TOTAL,2001,3,NA,18,1,18,0,15,1,2,1,9,68,66.6,59.3,80.6
KERALA,ALAPUZHA,2001,2,NA,0,0,0,0,0,0,0,0,0,2,,,
